id,platform,company
1,Nintendo64,Nintendo
2,PlayStation,Sony
3,PlayStation3,Sony
4,Dreamcast,SEGA
5,Xbox360,Microsoft
6,Wii,Nintendo
7,XboxOne,Microsoft
8,Switch,Nintendo
9,PlayStation2,Sony
10,PlayStation4,Sony
11,GameCube,Nintendo
12,Xbox,Microsoft
13,PC,Desktop
14,WiiU,Nintendo
15,GameBoyAdvance,Nintendo
16,3DS,Nintendo
17,DS,Nintendo
18,PlayStationVita,Sony
19,PSP,Sony
20,XboxSeriesX,Microsoft
21,PlayStation5,Sony
22,Stadia,Desktop
